Institution,Date_Start,Date_End,Jokowi,Prabowo,Respondent,Margin_of_Error,CI,Method,Source
Alvara,02/04/2019,08/04/2019,52.2,38.8,2000,2.23,95,face-to-face,https://www.liputan6.com/pilpres/read/3940450/jelang-debat-akhir-pilpres-2019-intip-selisih-hasil-survei-jokowi-vs-prabowo
CSIS,15/03/2019,22/03/2019,51.4,33.3,1960,,95,,https://csis.or.id/publications/laporan-hasil-survei-nasional-pertarungan-antara-elektabilitas-dan-mobilisasi-pemilih
Cyrus Network,27/03/2019,02/04/2019,56.4,38.1,1230,3,95,face-to-face,https://www.liputan6.com/pilpres/read/3940450/jelang-debat-akhir-pilpres-2019-intip-selisih-hasil-survei-jokowi-vs-prabowo
Indo Barometer,,13/04/2019,59.9,40.1,1200,2.8,95,face-to-face,https://www.liputan6.com/pilpres/read/3940774/survei-indo-barometer-jokowi-599-persen-dan-prabowo-401-persen
Indo Barometer,06/02/2019,12/02/2019,50.2,28.9,1200,2.83,95,,https://databoks.katadata.co.id/datapublish/2019/03/22/survei-indobarometer-elektabilitas-jokowi-maruf-unggul-lebih-dari-20
Indo Barometer,06/02/2019,12/02/2019,51.2,28.9,1200,2.83,95,election-paper simulation,https://databoks.katadata.co.id/datapublish/2019/03/22/survei-indobarometer-elektabilitas-jokowi-maruf-unggul-lebih-dari-20
Indo Barometer,15/03/2019,21/03/2019,50.8,32,1200,2.83,95,face-to-face,https://databoks.katadata.co.id/datapublish/2019/04/02/survei-indo-barometer-jokowi-maruf-unggul-188-dari-prabowo-sandi
Indo Barometer,01/04/2019,07/04/2019,59.9,40.1,1200,2.83,95,,http://wartakota.tribunnews.com/2019/04/15/10-lembaga-survei-rilis-survei-terbaru-elektabilitas-jokowi-dan-prabowo-siapa-yang-unggul?page=3
LSI Denny JA,04/04/2019,09/04/2019,55.9,34.2,2000,2.2,,face-to-face,https://nasional.kompas.com/read/2019/04/12/20262551/unggul-di-survei-lsi-smrc-dan-alvara-tkn-optimis-jokowi-memenangkan-pilpres
LSI Denny JA,10/11/2018,19/11/2018,53.2,32.2,1200,2.5,,,https://databoks.katadata.co.id/datapublish/2018/11/27/lsi-denny-ja-elektabilitas-jokowi-maruf-unggul-20-dari-prabowo-sandiaga
LSI Denny JA,05/12/2018,12/12/2018,54.2,31.2,1200,2.8,,,https://databoks.katadata.co.id/datapublish/2018/12/20/lsi-denny-ja-pasca-reuni-212-elektabilitas-prabowo-turun
LSI Denny JA,18/01/2019,25/01/2019,54.8,31,1200,2.8,,face-to-face,https://databoks.katadata.co.id/datapublish/2019/01/30/lsi-denny-ja-pasca-debat-pertama-elektabilitas-jokowi-maruf-naik-06-persen
LSI Denny JA,18/02/2019,25/02/2019,58.7,30.9,1200,2.9,,,https://databoks.katadata.co.id/datapublish/2019/03/05/survei-lsi-denny-ja-jokowi-maruf-selalu-unggul-di-atas-20-dari-prabowo-sandi
LSI Denny JA,18/03/2019,26/03/2019,56.8,36.8,1200,2.8,,,https://databoks.katadata.co.id/datapublish/2019/04/02/survei-lsi-denny-ja-elektabilitas-jokowi-maruf-selisih-20-dari-prabowo-sandi
Median,31/03/2019,07/04/2019,47.2,39.5,1500,2.6,95,face-to-face,https://www.liputan6.com/pilpres/read/3940752/survei-median-jokowi-maruf-selisih-8-persen-dengan-prabowo-sandiaga
Median,04/11/2018,06/11/2018,47.7,35.5,1200,2.9,95,,https://databoks.katadata.co.id/datapublish/2018/11/27/survei-median-elektabilitas-jokowi-maruf-unggul-tapi-masih-di-bawah-50-persen
PolMark,07/10/2018,12/02/2019,40.4,25.8,32560,4.8,,,https://www.cnnindonesia.com/nasional/20190317171934-32-378052/survei-smrc-jarak-jokowi-dan-prabowo-makin-melebar
Poltracking,01/04/2019,08/04/2019,54.5,45.4,2000,2.2,,face-to-face,https://www.liputan6.com/pilpres/read/3940799/hasil-survei-terkini-jokowi-vs-prabowo-di-hari-terakhir-kampanye-pilpres-2019
Roy Morgan,01/12/2018,01/12/2018,59.5,40.5,1045,,95,,http://www.roymorgan.com/findings/7892-indonesian-voting-intention-february-2019-201902282247
